experiment_id,feature_set_name,model_name,cv_mean,cv_std,risk_adjusted_score,cv_scores,submission_path,changed_count,total_0_to_1,total_1_to_0,pclass3_female_0_to_1,miss_mrs_0_to_1,guard_decision,guard_reason,qualifies,qualify_reason
auto_027_safe_family_counts_flags_logistic_l2,safe_family_counts_flags,logistic_l2,0.8278890214048082,0.020192782525059294,0.807696238879749,"0.82682, 0.80899, 0.82584, 0.83146, 0.84270, 0.87151, 0.79213, 0.79213, 0.82022, 0.84831, 0.83799, 0.81461, 0.84270, 0.82584, 0.83708",competitions/titanic/submissions/auto_experiment_suite/auto_027_safe_family_counts_flags_logistic_l2_submission.csv,38,29,9,26,26,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 38 exceeds 12; 0_to_1 flips 29 exceed 6; Pclass=3 female 0_to_1 flips 26 exceed 3; Miss/Mrs 0_to_1 flips 26 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.82789 < 0.83800; cv_std 0.02019 > 0.01800; risk_adjusted 0.80770 < 0.82000; changed_count 38 > 12; 0_to_1 29 > 6; pclass3_female_0_to_1 26 > 3; miss_mrs_0_to_1 26 > 4; guard_decision blocks submission
auto_028_safe_family_counts_flags_logistic_strong_l2,safe_family_counts_flags,logistic_strong_l2,0.8286318080053564,0.02259798873518554,0.8060338192701708,"0.83240, 0.82022, 0.83146, 0.82584, 0.84270, 0.88268, 0.79213, 0.78090, 0.82584, 0.84270, 0.83799, 0.80899, 0.83708, 0.83146, 0.83708",competitions/titanic/submissions/auto_experiment_suite/auto_028_safe_family_counts_flags_logistic_strong_l2_submission.csv,39,29,10,27,27,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 39 exceeds 12; 0_to_1 flips 29 exceed 6; Pclass=3 female 0_to_1 flips 27 exceed 3; Miss/Mrs 0_to_1 flips 27 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.82863 < 0.83800; cv_std 0.02260 > 0.01800; risk_adjusted 0.80603 < 0.82000; changed_count 39 > 12; 0_to_1 29 > 6; pclass3_female_0_to_1 27 > 3; miss_mrs_0_to_1 27 > 4; guard_decision blocks submission
auto_029_title_group_family_counts_hgb_reference,title_group_family_counts,hgb_reference,0.8353775657523068,0.019724477960026045,0.8156530877922807,"0.83799, 0.82584, 0.82584, 0.83708, 0.85955, 0.87151, 0.82022, 0.80337, 0.84270, 0.84270, 0.83240, 0.81461, 0.87079, 0.83708, 0.80899",competitions/titanic/submissions/auto_experiment_suite/auto_029_title_group_family_counts_hgb_reference_submission.csv,13,7,6,2,2,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 13 exceeds 12; 0_to_1 flips 7 exceed 6; Embarked S/C 0_to_1 flips 7 exceed 6,False,cv_mean 0.83538 < 0.83800; cv_std 0.01972 > 0.01800; risk_adjusted 0.81565 < 0.82000; changed_count 13 > 12; 0_to_1 7 > 6; guard_decision blocks submission
auto_030_title_group_family_counts_hgb_small_regular,title_group_family_counts,hgb_small_regular,0.829010524553805,0.01926484271067005,0.8097456818431349,"0.84916, 0.81461, 0.80899, 0.83146, 0.84270, 0.86592, 0.79775, 0.80899, 0.84270, 0.83146, 0.82682, 0.80899, 0.85955, 0.82022, 0.82584",competitions/titanic/submissions/auto_experiment_suite/auto_030_title_group_family_counts_hgb_small_regular_submission.csv,16,5,11,3,3,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 16 exceeds 12,False,cv_mean 0.82901 < 0.83800; cv_std 0.01926 > 0.01800; risk_adjusted 0.80975 < 0.82000; changed_count 16 > 12; guard_decision blocks submission
auto_031_title_group_family_counts_hgb_large_regular,title_group_family_counts,hgb_large_regular,0.829767957650702,0.020134890728021545,0.8096330669226804,"0.84916, 0.83146, 0.81461, 0.83146, 0.84270, 0.85475, 0.82022, 0.80337, 0.85393, 0.84270, 0.81564, 0.79775, 0.86517, 0.81461, 0.80899",competitions/titanic/submissions/auto_experiment_suite/auto_031_title_group_family_counts_hgb_large_regular_submission.csv,20,11,9,6,6,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 20 exceeds 12; 0_to_1 flips 11 exceed 6; Pclass=3 female 0_to_1 flips 6 exceed 3; Miss/Mrs 0_to_1 flips 6 exceed 4; Embarked S/C 0_to_1 flips 10 exceed 6,False,cv_mean 0.82977 < 0.83800; cv_std 0.02013 > 0.01800; risk_adjusted 0.80963 < 0.82000; changed_count 20 > 12; 0_to_1 11 > 6; pclass3_female_0_to_1 6 > 3; miss_mrs_0_to_1 6 > 4; guard_decision blocks submission
auto_032_title_group_family_counts_hgb_conservative,title_group_family_counts,hgb_conservative,0.8308831837298349,0.02059986609486804,0.8102833176349669,"0.84916, 0.83708, 0.81461, 0.83708, 0.84270, 0.87709, 0.80899, 0.79213, 0.82022, 0.84831, 0.81564, 0.80899, 0.84831, 0.83146, 0.83146",competitions/titanic/submissions/auto_experiment_suite/auto_032_title_group_family_counts_hgb_conservative_submission.csv,29,17,12,14,14,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 29 exceeds 12; 0_to_1 flips 17 exceed 6; Pclass=3 female 0_to_1 flips 14 exceed 3; Miss/Mrs 0_to_1 flips 14 exceed 4; Embarked S/C 0_to_1 flips 13 exceed 6,False,cv_mean 0.83088 < 0.83800; cv_std 0.02060 > 0.01800; risk_adjusted 0.81028 < 0.82000; changed_count 29 > 12; 0_to_1 17 > 6; pclass3_female_0_to_1 14 > 3; miss_mrs_0_to_1 14 > 4; guard_decision blocks submission
auto_033_title_group_family_counts_random_forest_conservative,title_group_family_counts,random_forest_conservative,0.8312577155650409,0.018529345557625178,0.8127283700074157,"0.83240, 0.81461, 0.83146, 0.83146, 0.84831, 0.87151, 0.79213, 0.82022, 0.82584, 0.84831, 0.83799, 0.80337, 0.84270, 0.83146, 0.83708",competitions/titanic/submissions/auto_experiment_suite/auto_033_title_group_family_counts_random_forest_conservative_submission.csv,45,29,16,26,26,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 45 exceeds 12; 0_to_1 flips 29 exceed 6; Pclass=3 female 0_to_1 flips 26 exceed 3; Miss/Mrs 0_to_1 flips 26 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.83126 < 0.83800; cv_std 0.01853 > 0.01800; risk_adjusted 0.81273 < 0.82000; changed_count 45 > 12; 0_to_1 29 > 6; pclass3_female_0_to_1 26 > 3; miss_mrs_0_to_1 26 > 4; guard_decision blocks submission
auto_034_title_group_family_counts_logistic_l2,title_group_family_counts,logistic_l2,0.8241437030527483,0.0205312770398591,0.8036124260128892,"0.82123, 0.81461, 0.82022, 0.82584, 0.83146, 0.87151, 0.78652, 0.78652, 0.82022, 0.84270, 0.84358, 0.80899, 0.83146, 0.82584, 0.83146",competitions/titanic/submissions/auto_experiment_suite/auto_034_title_group_family_counts_logistic_l2_submission.csv,39,29,10,26,26,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 39 exceeds 12; 0_to_1 flips 29 exceed 6; Pclass=3 female 0_to_1 flips 26 exceed 3; Miss/Mrs 0_to_1 flips 26 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.82414 < 0.83800; cv_std 0.02053 > 0.01800; risk_adjusted 0.80361 < 0.82000; changed_count 39 > 12; 0_to_1 29 > 6; pclass3_female_0_to_1 26 > 3; miss_mrs_0_to_1 26 > 4; guard_decision blocks submission
auto_035_title_group_family_counts_logistic_strong_l2,title_group_family_counts,logistic_strong_l2,0.8245182348879543,0.02246089097778693,0.8020573439101674,"0.81564, 0.82022, 0.82022, 0.82022, 0.83708, 0.87151, 0.79213, 0.77528, 0.82584, 0.84831, 0.84916, 0.80899, 0.82584, 0.82022, 0.83708",competitions/titanic/submissions/auto_experiment_suite/auto_035_title_group_family_counts_logistic_strong_l2_submission.csv,39,29,10,26,26,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 39 exceeds 12; 0_to_1 flips 29 exceed 6; Pclass=3 female 0_to_1 flips 26 exceed 3; Miss/Mrs 0_to_1 flips 26 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.82452 < 0.83800; cv_std 0.02246 > 0.01800; risk_adjusted 0.80206 < 0.82000; changed_count 39 > 12; 0_to_1 29 > 6; pclass3_female_0_to_1 26 > 3; miss_mrs_0_to_1 26 > 4; guard_decision blocks submission
auto_036_name_structure_family_hgb_reference,name_structure_family,hgb_reference,0.8357541899441341,0.021424811880660487,0.8143293780634736,"0.85475, 0.82022, 0.81461, 0.84270, 0.85393, 0.86034, 0.82022, 0.79213, 0.85393, 0.84831, 0.82123, 0.82022, 0.87640, 0.82584, 0.83146",competitions/titanic/submissions/auto_experiment_suite/auto_036_name_structure_family_hgb_reference_submission.csv,19,11,8,6,6,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 19 exceeds 12; 0_to_1 flips 11 exceed 6; Pclass=3 female 0_to_1 flips 6 exceed 3; Miss/Mrs 0_to_1 flips 6 exceed 4; Embarked S/C 0_to_1 flips 10 exceed 6,False,cv_mean 0.83575 < 0.83800; cv_std 0.02142 > 0.01800; risk_adjusted 0.81433 < 0.82000; changed_count 19 > 12; 0_to_1 11 > 6; pclass3_female_0_to_1 6 > 3; miss_mrs_0_to_1 6 > 4; guard_decision blocks submission
auto_037_name_structure_family_hgb_small_regular,name_structure_family,hgb_small_regular,0.8297595882242169,0.023197628255283553,0.8065619599689333,"0.85475, 0.82022, 0.80899, 0.84270, 0.82022, 0.86592, 0.80337, 0.78652, 0.84831, 0.84270, 0.82123, 0.80899, 0.87079, 0.82022, 0.83146",competitions/titanic/submissions/auto_experiment_suite/auto_037_name_structure_family_hgb_small_regular_submission.csv,25,15,10,11,11,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 25 exceeds 12; 0_to_1 flips 15 exceed 6; Pclass=3 female 0_to_1 flips 11 exceed 3; Miss/Mrs 0_to_1 flips 11 exceed 4; Embarked S/C 0_to_1 flips 12 exceed 6,False,cv_mean 0.82976 < 0.83800; cv_std 0.02320 > 0.01800; risk_adjusted 0.80656 < 0.82000; changed_count 25 > 12; 0_to_1 15 > 6; pclass3_female_0_to_1 11 > 3; miss_mrs_0_to_1 11 > 4; guard_decision blocks submission
auto_038_name_structure_family_hgb_large_regular,name_structure_family,hgb_large_regular,0.8335090912895193,0.017217639413260787,0.8162914518762585,"0.85475, 0.82584, 0.83146, 0.83708, 0.84270, 0.83799, 0.80899, 0.80337, 0.84270, 0.84831, 0.83799, 0.82022, 0.87079, 0.81461, 0.82584",competitions/titanic/submissions/auto_experiment_suite/auto_038_name_structure_family_hgb_large_regular_submission.csv,28,14,14,7,7,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 28 exceeds 12; 0_to_1 flips 14 exceed 6; Pclass=3 female 0_to_1 flips 7 exceed 3; Miss/Mrs 0_to_1 flips 7 exceed 4; Embarked S/C 0_to_1 flips 14 exceed 6,False,cv_mean 0.83351 < 0.83800; risk_adjusted 0.81629 < 0.82000; changed_count 28 > 12; 0_to_1 14 > 6; pclass3_female_0_to_1 7 > 3; miss_mrs_0_to_1 7 > 4; guard_decision blocks submission
auto_039_name_structure_family_hgb_conservative,name_structure_family,hgb_conservative,0.8297574958675956,0.021109483471592916,0.8086480123960027,"0.86034, 0.82584, 0.82584, 0.83146, 0.82584, 0.87151, 0.81461, 0.79213, 0.82022, 0.84831, 0.81564, 0.79775, 0.85393, 0.82584, 0.83708",competitions/titanic/submissions/auto_experiment_suite/auto_039_name_structure_family_hgb_conservative_submission.csv,36,25,11,21,21,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 36 exceeds 12; 0_to_1 flips 25 exceed 6; Pclass=3 female 0_to_1 flips 21 exceed 3; Miss/Mrs 0_to_1 flips 21 exceed 4; Embarked S/C 0_to_1 flips 21 exceed 6,False,cv_mean 0.82976 < 0.83800; cv_std 0.02111 > 0.01800; risk_adjusted 0.80865 < 0.82000; changed_count 36 > 12; 0_to_1 25 > 6; pclass3_female_0_to_1 21 > 3; miss_mrs_0_to_1 21 > 4; guard_decision blocks submission
auto_040_name_structure_family_random_forest_conservative,name_structure_family,random_forest_conservative,0.8338752536982403,0.019136614502492162,0.8147386391957482,"0.83799, 0.82584, 0.83708, 0.82584, 0.85393, 0.87151, 0.79775, 0.82022, 0.82584, 0.85393, 0.84358, 0.79775, 0.84270, 0.83146, 0.84270",competitions/titanic/submissions/auto_experiment_suite/auto_040_name_structure_family_random_forest_conservative_submission.csv,45,30,15,27,27,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 45 exceeds 12; 0_to_1 flips 30 exceed 6; Pclass=3 female 0_to_1 flips 27 exceed 3; Miss/Mrs 0_to_1 flips 27 exceed 4; Embarked S/C 0_to_1 flips 26 exceed 6,False,cv_mean 0.83388 < 0.83800; cv_std 0.01914 > 0.01800; risk_adjusted 0.81474 < 0.82000; changed_count 45 > 12; 0_to_1 30 > 6; pclass3_female_0_to_1 27 > 3; miss_mrs_0_to_1 27 > 4; guard_decision blocks submission
auto_041_name_structure_family_logistic_l2,name_structure_family,logistic_l2,0.8320005021655892,0.023728819131993224,0.808271683033596,"0.82682, 0.82022, 0.83708, 0.83146, 0.84270, 0.88268, 0.78090, 0.79213, 0.82584, 0.84831, 0.84916, 0.82022, 0.85393, 0.82584, 0.84270",competitions/titanic/submissions/auto_experiment_suite/auto_041_name_structure_family_logistic_l2_submission.csv,35,26,9,21,21,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 35 exceeds 12; 0_to_1 flips 26 exceed 6; Pclass=3 female 0_to_1 flips 21 exceed 3; Miss/Mrs 0_to_1 flips 21 exceed 4; Embarked S/C 0_to_1 flips 25 exceed 6,False,cv_mean 0.83200 < 0.83800; cv_std 0.02373 > 0.01800; risk_adjusted 0.80827 < 0.82000; changed_count 35 > 12; 0_to_1 26 > 6; pclass3_female_0_to_1 21 > 3; miss_mrs_0_to_1 21 > 4; guard_decision blocks submission
auto_042_name_structure_family_logistic_strong_l2,name_structure_family,logistic_strong_l2,0.8334944447931706,0.024541291394873585,0.808953153398297,"0.83240, 0.82584, 0.83146, 0.83146, 0.84270, 0.88827, 0.79213, 0.78652, 0.83146, 0.85393, 0.84916, 0.80899, 0.85393, 0.82584, 0.84831",competitions/titanic/submissions/auto_experiment_suite/auto_042_name_structure_family_logistic_strong_l2_submission.csv,36,25,11,20,20,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 36 exceeds 12; 0_to_1 flips 25 exceed 6; Pclass=3 female 0_to_1 flips 20 exceed 3; Miss/Mrs 0_to_1 flips 20 exceed 4; Embarked S/C 0_to_1 flips 24 exceed 6,False,cv_mean 0.83349 < 0.83800; cv_std 0.02454 > 0.01800; risk_adjusted 0.80895 < 0.82000; changed_count 36 > 12; 0_to_1 25 > 6; pclass3_female_0_to_1 20 > 3; miss_mrs_0_to_1 20 > 4; guard_decision blocks submission
