experiment_id,date,features,model,validation_strategy,local_score,public_lb_score,notes
titanic_exp_001_logreg_baseline,2026-05-05,"Pclass, Age, SibSp, Parch, Fare, Sex, Embarked",LogisticRegression,5-fold StratifiedKFold accuracy,0.79239 +/- 0.01744,0.76555,"First valid Titanic baseline submission. Public score is lower than single split validation, so CV tracking is required."
titanic_exp_002_feature_v1_logreg,2026-05-05,"baseline + FamilySize, IsAlone, HasCabin, Title",LogisticRegression,5-fold StratifiedKFold accuracy,0.82939 +/- 0.00939,0.7703,"Feature engineering v1: family, cabin availability, and title extracted from name."
titanic_exp_003_model_comparison_hgb,2026-05-05,"plus_title: Pclass, Age, SibSp, Parch, Fare, Sex, Embarked, Title",hist_gradient_boosting,5-fold StratifiedKFold accuracy,0.83725 +/- 0.01390,0.77272,Model comparison on plus_title feature set. HistGradientBoosting achieved the best local CV and improved public LB over feature_v1 logistic regression.
titanic_exp_004_age_imputation_v2,2026-05-05,plus_title + grouped Age imputation + AgeBin,hist_gradient_boosting,5-fold StratifiedKFold accuracy,0.83499 +/- 0.01884,not_submitted,CV dropped below exp_003 and std increased. Kept as negative/diagnostic experiment; not submitted to Kaggle yet.
titanic_exp_005_deck_ticket_fare,2026-05-09,plus_title + Deck + TicketGroupSize + FarePerPerson,hist_gradient_boosting,5-fold StratifiedKFold accuracy,0.83611 +/- 0.01913,0.75837,Public LB dropped sharply despite CV being close to exp_003. Deck/TicketGroupSize/FarePerPerson changed 20 predictions and likely added noise or overfit the local validation.
