candidate_name,candidate_path,changed_count,changed_rate,total_0_to_1,total_1_to_0,pclass3_female_0_to_1,miss_mrs_0_to_1,embarked_sc_0_to_1,pclass3_0_to_1,decision,reason
deck_ticket_fare,competitions/titanic/submissions/deck_ticket_fare_hgb_submission.csv,20,0.04784688995215311,15,5,9,9,13,11,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 20 exceeds 12; 0_to_1 flips 15 exceed 6; Pclass=3 female 0_to_1 flips 9 exceed 3; Miss/Mrs 0_to_1 flips 9 exceed 4; Embarked S/C 0_to_1 flips 13 exceed 6
hgb_tuned,competitions/titanic/submissions/hgb_tuned_submission.csv,18,0.0430622009569378,11,7,8,8,7,9,DO_NOT_SUBMIT_WITHOUT_REVIEW,changed_count 18 exceeds 12; 0_to_1 flips 11 exceed 6; Pclass=3 female 0_to_1 flips 8 exceed 3; Miss/Mrs 0_to_1 flips 8 exceed 4; Embarked S/C 0_to_1 flips 7 exceed 6
rare_title_interactions,competitions/titanic/submissions/rare_title_interactions_hgb_submission.csv,11,0.02631578947368421,7,4,6,6,5,6,DO_NOT_SUBMIT_WITHOUT_REVIEW,0_to_1 flips 7 exceed 6; Pclass=3 female 0_to_1 flips 6 exceed 3; Miss/Mrs 0_to_1 flips 6 exceed 4
repeated_cv_best,competitions/titanic/submissions/repeated_cv_best_submission.csv,0,0.0,0,0,0,0,0,0,NO_NEW_INFORMATION,Candidate is identical to current best submission.
