candidate_name,feature_set_name,model_name,candidate_type,cv_mean,cv_std,delta_vs_current_best_public,fold_scores
binned_competition__logistic_regression,binned_competition,logistic_regression,single_model,0.8260247316552632,0.008206495278605536,0.05330473165526328,"0.83799, 0.83146, 0.81461, 0.82584, 0.82022"
binned_competition__adaboost_extra_nb_hard_weighted,binned_competition,adaboost_extra_nb_hard_weighted,voting,0.8260247316552632,0.008206495278605536,0.05330473165526328,"0.83799, 0.81461, 0.82584, 0.82022, 0.83146"
binned_competition__hist_gradient_boosting,binned_competition,hist_gradient_boosting,single_model,0.8248948590797817,0.021877055477302287,0.0521748590797817,"0.84358, 0.81461, 0.78652, 0.83708, 0.84270"
nb_competition_ordinal__extra_trees,nb_competition_ordinal,extra_trees,single_model,0.8237838177138912,0.008590820839727354,0.051063817713891235,"0.83240, 0.82022, 0.80899, 0.82584, 0.83146"
nb_competition_ordinal__svc_rbf,nb_competition_ordinal,svc_rbf,single_model,0.8237712635741635,0.020761184392200496,0.05105126357416356,"0.84358, 0.82022, 0.78652, 0.82584, 0.84270"
plus_title__extra_trees,plus_title,extra_trees,single_model,0.8226727763480006,0.011536035131970447,0.04995277634800066,"0.82123, 0.81461, 0.82584, 0.80899, 0.84270"
wide_competition__logistic_regression,wide_competition,logistic_regression,single_model,0.8226602222082733,0.01942208594379907,0.04994022220827332,"0.83240, 0.84270, 0.78652, 0.83146, 0.82022"
plus_title__adaboost_extra_nb_hard_weighted,plus_title,adaboost_extra_nb_hard_weighted,voting,0.8204318624066286,0.015822059049763505,0.04771186240662861,"0.81564, 0.80899, 0.82584, 0.80337, 0.84831"
plus_title__knn,plus_title,knn,single_model,0.8204255853367648,0.006167284230991012,0.04770558533676483,"0.82123, 0.80899, 0.82022, 0.82584, 0.82584"
wide_competition__adaboost,wide_competition,adaboost,single_model,0.8193019898311468,0.012536293888069391,0.04658198983114681,"0.82123, 0.81461, 0.80899, 0.80899, 0.84270"
wide_competition__knn,wide_competition,knn,single_model,0.8170422446801833,0.012332447194715804,0.04432224468018331,"0.83240, 0.82584, 0.79775, 0.80899, 0.82022"
wide_competition__adaboost_extra_nb_hard_weighted,wide_competition,adaboost_extra_nb_hard_weighted,voting,0.815956311593748,0.013656472019453757,0.04323631159374808,"0.79888, 0.82584, 0.80899, 0.83708, 0.80899"
nb_competition_ordinal__adaboost,nb_competition_ordinal,adaboost,single_model,0.8148201619484026,0.016975028398712764,0.042100161948402604,"0.81006, 0.80337, 0.80899, 0.80337, 0.84831"
binned_competition__gaussian_nb,binned_competition,gaussian_nb,single_model,0.8125478626577113,0.013843986153372798,0.03982786265771132,"0.83240, 0.80337, 0.79775, 0.80337, 0.82584"
nb_competition_ordinal__logistic_regression,nb_competition_ordinal,logistic_regression,single_model,0.8091959073504489,0.014300132303796757,0.03647590735044892,"0.81564, 0.81461, 0.78090, 0.81461, 0.82022"
wide_competition__decision_tree,wide_competition,decision_tree,single_model,0.8091770761408574,0.01869415317774194,0.03645707614085747,"0.83240, 0.79775, 0.79213, 0.79213, 0.83146"
binned_competition__decision_tree,binned_competition,decision_tree,single_model,0.8069236080597577,0.01961804168209973,0.03420360805975775,"0.83799, 0.79213, 0.78090, 0.81461, 0.80899"
nb_competition_ordinal__decision_tree,nb_competition_ordinal,decision_tree,single_model,0.8069173309898939,0.026015762650802736,0.03419733098989397,"0.84358, 0.81461, 0.76966, 0.78652, 0.82022"
plus_title__gaussian_nb,plus_title,gaussian_nb,single_model,0.8058313979034587,0.01163797530758171,0.03311139790345874,"0.81006, 0.79213, 0.79775, 0.80337, 0.82584"
binned_competition__knn,binned_competition,knn,single_model,0.8058313979034587,0.0274599932771276,0.03311139790345874,"0.81006, 0.82022, 0.75281, 0.83146, 0.81461"
wide_competition__gaussian_nb,wide_competition,gaussian_nb,single_model,0.7968677421379701,0.015502321746203682,0.024147742137970107,"0.78771, 0.79213, 0.77528, 0.81461, 0.81461"
nb_competition_ordinal__adaboost_extra_nb_hard_weighted,nb_competition_ordinal,adaboost_extra_nb_hard_weighted,voting,0.7968363567886512,0.01123794320353064,0.024116356788651205,"0.81564, 0.80337, 0.79213, 0.78652, 0.78652"
plus_title__adaboost,plus_title,adaboost,single_model,0.7935095097608437,0.024021013664053553,0.020789509760843705,"0.77654, 0.80899, 0.78652, 0.76404, 0.83146"
binned_competition__adaboost,binned_competition,adaboost,single_model,0.7935095097608437,0.02321928275466966,0.020789509760843705,"0.77654, 0.80337, 0.79213, 0.76404, 0.83146"
nb_competition_ordinal__knn,nb_competition_ordinal,knn,single_model,0.788977465319189,0.01295707342349844,0.016257465319189035,"0.81006, 0.78652, 0.76966, 0.78652, 0.79213"
nb_competition_ordinal__gaussian_nb,nb_competition_ordinal,gaussian_nb,single_model,0.7732785135898562,0.019109058531741604,0.0005585135898562577,"0.78212, 0.79775, 0.76404, 0.74157, 0.78090"
